thres	recall	precision	correct	recognized	all
thres:0.000000	1.000000	0.268898	correct:7936.000000	recognized:29513.000000	all:7936.000000
thres:0.010732	0.999874	0.268928	correct:7935.000000	recognized:29506.000000	all:7936.000000
thres:0.021463	0.999496	0.268918	correct:7932.000000	recognized:29496.000000	all:7936.000000
thres:0.032195	0.999244	0.269005	correct:7930.000000	recognized:29479.000000	all:7936.000000
thres:0.042926	0.997984	0.269003	correct:7920.000000	recognized:29442.000000	all:7936.000000
thres:0.053658	0.997354	0.269686	correct:7915.000000	recognized:29349.000000	all:7936.000000
thres:0.064389	0.996724	0.269994	correct:7910.000000	recognized:29297.000000	all:7936.000000
thres:0.075121	0.995716	0.270718	correct:7902.000000	recognized:29189.000000	all:7936.000000
thres:0.085852	0.994960	0.271284	correct:7896.000000	recognized:29106.000000	all:7936.000000
thres:0.096584	0.993826	0.272690	correct:7887.000000	recognized:28923.000000	all:7936.000000
thres:0.107315	0.992818	0.273358	correct:7879.000000	recognized:28823.000000	all:7936.000000
thres:0.118047	0.991431	0.274749	correct:7868.000000	recognized:28637.000000	all:7936.000000
thres:0.128778	0.989667	0.276384	correct:7854.000000	recognized:28417.000000	all:7936.000000
thres:0.139510	0.987021	0.277510	correct:7833.000000	recognized:28226.000000	all:7936.000000
thres:0.150241	0.985383	0.278203	correct:7820.000000	recognized:28109.000000	all:7936.000000
thres:0.160973	0.983493	0.279349	correct:7805.000000	recognized:27940.000000	all:7936.000000
thres:0.171705	0.981603	0.280266	correct:7790.000000	recognized:27795.000000	all:7936.000000
thres:0.182436	0.980343	0.282191	correct:7780.000000	recognized:27570.000000	all:7936.000000
thres:0.193168	0.976562	0.283561	correct:7750.000000	recognized:27331.000000	all:7936.000000
thres:0.203899	0.973412	0.285614	correct:7725.000000	recognized:27047.000000	all:7936.000000
thres:0.214631	0.971270	0.286873	correct:7708.000000	recognized:26869.000000	all:7936.000000
thres:0.225362	0.968876	0.287848	correct:7689.000000	recognized:26712.000000	all:7936.000000
thres:0.236094	0.965978	0.290027	correct:7666.000000	recognized:26432.000000	all:7936.000000
thres:0.246825	0.961568	0.290993	correct:7631.000000	recognized:26224.000000	all:7936.000000
thres:0.257557	0.958795	0.292586	correct:7609.000000	recognized:26006.000000	all:7936.000000
thres:0.268288	0.956149	0.294086	correct:7588.000000	recognized:25802.000000	all:7936.000000
thres:0.279020	0.952999	0.296019	correct:7563.000000	recognized:25549.000000	all:7936.000000
thres:0.289751	0.948463	0.297557	correct:7527.000000	recognized:25296.000000	all:7936.000000
thres:0.300483	0.943548	0.297864	correct:7488.000000	recognized:25139.000000	all:7936.000000
thres:0.311214	0.940272	0.299703	correct:7462.000000	recognized:24898.000000	all:7936.000000
thres:0.321946	0.936996	0.301896	correct:7436.000000	recognized:24631.000000	all:7936.000000
thres:0.332678	0.934350	0.303359	correct:7415.000000	recognized:24443.000000	all:7936.000000
thres:0.343409	0.931704	0.305272	correct:7394.000000	recognized:24221.000000	all:7936.000000
thres:0.354141	0.926159	0.306505	correct:7350.000000	recognized:23980.000000	all:7936.000000
thres:0.364872	0.922127	0.308373	correct:7318.000000	recognized:23731.000000	all:7936.000000
thres:0.375604	0.918977	0.310024	correct:7293.000000	recognized:23524.000000	all:7936.000000
thres:0.386335	0.915323	0.312269	correct:7264.000000	recognized:23262.000000	all:7936.000000
thres:0.397067	0.911542	0.313540	correct:7234.000000	recognized:23072.000000	all:7936.000000
thres:0.407798	0.907384	0.326369	correct:7201.000000	recognized:22064.000000	all:7936.000000
thres:0.418530	0.901966	0.327852	correct:7158.000000	recognized:21833.000000	all:7936.000000
thres:0.429261	0.897555	0.328901	correct:7123.000000	recognized:21657.000000	all:7936.000000
thres:0.439993	0.894153	0.331496	correct:7096.000000	recognized:21406.000000	all:7936.000000
thres:0.450724	0.888105	0.331858	correct:7048.000000	recognized:21238.000000	all:7936.000000
thres:0.461456	0.882939	0.334431	correct:7007.000000	recognized:20952.000000	all:7936.000000
thres:0.472188	0.876764	0.336054	correct:6958.000000	recognized:20705.000000	all:7936.000000
thres:0.482919	0.869960	0.336666	correct:6904.000000	recognized:20507.000000	all:7936.000000
thres:0.493651	0.863659	0.338035	correct:6854.000000	recognized:20276.000000	all:7936.000000
thres:0.504382	0.858745	0.339985	correct:6815.000000	recognized:20045.000000	all:7936.000000
thres:0.515114	0.854587	0.340855	correct:6782.000000	recognized:19897.000000	all:7936.000000
thres:0.525845	0.848034	0.341538	correct:6730.000000	recognized:19705.000000	all:7936.000000
thres:0.536577	0.841608	0.342566	correct:6679.000000	recognized:19497.000000	all:7936.000000
thres:0.547308	0.836316	0.344439	correct:6637.000000	recognized:19269.000000	all:7936.000000
thres:0.558040	0.830897	0.347675	correct:6594.000000	recognized:18966.000000	all:7936.000000
thres:0.568771	0.825857	0.348099	correct:6554.000000	recognized:18828.000000	all:7936.000000
thres:0.579503	0.819304	0.348558	correct:6502.000000	recognized:18654.000000	all:7936.000000
thres:0.590234	0.813886	0.349967	correct:6459.000000	recognized:18456.000000	all:7936.000000
thres:0.600966	0.809728	0.350420	correct:6426.000000	recognized:18338.000000	all:7936.000000
thres:0.611697	0.805570	0.352484	correct:6393.000000	recognized:18137.000000	all:7936.000000
