thres	recall	precision	correct	recognized	all
thres:0.000000	0.997858	0.291193	correct:7919.000000	recognized:27195.000000	all:7936.000000
thres:0.001730	0.997606	0.293201	correct:7917.000000	recognized:27002.000000	all:7936.000000
thres:0.003459	0.997480	0.295252	correct:7916.000000	recognized:26811.000000	all:7936.000000
thres:0.005189	0.997480	0.297203	correct:7916.000000	recognized:26635.000000	all:7936.000000
thres:0.006918	0.997354	0.298961	correct:7915.000000	recognized:26475.000000	all:7936.000000
thres:0.008648	0.996724	0.301092	correct:7910.000000	recognized:26271.000000	all:7936.000000
thres:0.010378	0.996472	0.303151	correct:7908.000000	recognized:26086.000000	all:7936.000000
thres:0.012107	0.995590	0.305235	correct:7901.000000	recognized:25885.000000	all:7936.000000
thres:0.013837	0.995212	0.306993	correct:7898.000000	recognized:25727.000000	all:7936.000000
thres:0.015566	0.994456	0.309078	correct:7892.000000	recognized:25534.000000	all:7936.000000
thres:0.017296	0.993700	0.311073	correct:7886.000000	recognized:25351.000000	all:7936.000000
thres:0.019026	0.992692	0.313303	correct:7878.000000	recognized:25145.000000	all:7936.000000
thres:0.020755	0.991683	0.315393	correct:7870.000000	recognized:24953.000000	all:7936.000000
thres:0.022485	0.990927	0.317853	correct:7864.000000	recognized:24741.000000	all:7936.000000
thres:0.024214	0.989919	0.320313	correct:7856.000000	recognized:24526.000000	all:7936.000000
thres:0.025944	0.989037	0.322579	correct:7849.000000	recognized:24332.000000	all:7936.000000
thres:0.027673	0.987651	0.324757	correct:7838.000000	recognized:24135.000000	all:7936.000000
thres:0.029403	0.986391	0.327134	correct:7828.000000	recognized:23929.000000	all:7936.000000
thres:0.031133	0.985005	0.329803	correct:7817.000000	recognized:23702.000000	all:7936.000000
thres:0.032862	0.983115	0.332580	correct:7802.000000	recognized:23459.000000	all:7936.000000
thres:0.034592	0.981477	0.335097	correct:7789.000000	recognized:23244.000000	all:7936.000000
thres:0.036321	0.979965	0.337778	correct:7777.000000	recognized:23024.000000	all:7936.000000
thres:0.038051	0.979209	0.340505	correct:7771.000000	recognized:22822.000000	all:7936.000000
thres:0.039781	0.978075	0.343026	correct:7762.000000	recognized:22628.000000	all:7936.000000
thres:0.041510	0.976562	0.346028	correct:7750.000000	recognized:22397.000000	all:7936.000000
thres:0.043240	0.975806	0.348939	correct:7744.000000	recognized:22193.000000	all:7936.000000
thres:0.044969	0.975050	0.352400	correct:7738.000000	recognized:21958.000000	all:7936.000000
thres:0.046699	0.973286	0.355339	correct:7724.000000	recognized:21737.000000	all:7936.000000
thres:0.048429	0.971270	0.358095	correct:7708.000000	recognized:21525.000000	all:7936.000000
thres:0.050158	0.969380	0.361649	correct:7693.000000	recognized:21272.000000	all:7936.000000
thres:0.051888	0.967616	0.364072	correct:7679.000000	recognized:21092.000000	all:7936.000000
thres:0.053617	0.965726	0.366699	correct:7664.000000	recognized:20900.000000	all:7936.000000
thres:0.055347	0.963836	0.369053	correct:7649.000000	recognized:20726.000000	all:7936.000000
thres:0.057077	0.962072	0.371569	correct:7635.000000	recognized:20548.000000	all:7936.000000
thres:0.058806	0.959551	0.374073	correct:7615.000000	recognized:20357.000000	all:7936.000000
thres:0.060536	0.956905	0.377623	correct:7594.000000	recognized:20110.000000	all:7936.000000
thres:0.062265	0.953377	0.380125	correct:7566.000000	recognized:19904.000000	all:7936.000000
thres:0.063995	0.950227	0.383376	correct:7541.000000	recognized:19670.000000	all:7936.000000
thres:0.065724	0.945817	0.386131	correct:7506.000000	recognized:19439.000000	all:7936.000000
thres:0.067454	0.942414	0.388519	correct:7479.000000	recognized:19250.000000	all:7936.000000
thres:0.069184	0.938886	0.391663	correct:7451.000000	recognized:19024.000000	all:7936.000000
thres:0.070913	0.935988	0.394456	correct:7428.000000	recognized:18831.000000	all:7936.000000
thres:0.072643	0.931956	0.397827	correct:7396.000000	recognized:18591.000000	all:7936.000000
thres:0.074372	0.928049	0.400838	correct:7365.000000	recognized:18374.000000	all:7936.000000
thres:0.076102	0.923513	0.404493	correct:7329.000000	recognized:18119.000000	all:7936.000000
thres:0.077832	0.920363	0.408341	correct:7304.000000	recognized:17887.000000	all:7936.000000
thres:0.079561	0.916835	0.412028	correct:7276.000000	recognized:17659.000000	all:7936.000000
thres:0.081291	0.913936	0.415288	correct:7253.000000	recognized:17465.000000	all:7936.000000
thres:0.083020	0.909526	0.418071	correct:7218.000000	recognized:17265.000000	all:7936.000000
thres:0.084750	0.905998	0.421676	correct:7190.000000	recognized:17051.000000	all:7936.000000
thres:0.086480	0.902092	0.425776	correct:7159.000000	recognized:16814.000000	all:7936.000000
thres:0.088209	0.898438	0.428692	correct:7130.000000	recognized:16632.000000	all:7936.000000
thres:0.089939	0.894531	0.432787	correct:7099.000000	recognized:16403.000000	all:7936.000000
thres:0.091668	0.891003	0.435380	correct:7071.000000	recognized:16241.000000	all:7936.000000
thres:0.093398	0.885711	0.437889	correct:7029.000000	recognized:16052.000000	all:7936.000000
thres:0.095128	0.881426	0.441576	correct:6995.000000	recognized:15841.000000	all:7936.000000
thres:0.096857	0.876638	0.444480	correct:6957.000000	recognized:15652.000000	all:7936.000000
thres:0.098587	0.871472	0.447203	correct:6916.000000	recognized:15465.000000	all:7936.000000
thres:0.100316	0.866431	0.450531	correct:6876.000000	recognized:15262.000000	all:7936.000000
