thres	recall	precision	correct	recognized	all
thres:0.000000	0.759829	0.279231	correct:6030.000000	recognized:21595.000000	all:7936.000000
thres:0.010493	0.757182	0.280768	correct:6009.000000	recognized:21402.000000	all:7936.000000
thres:0.020985	0.754788	0.281049	correct:5990.000000	recognized:21313.000000	all:7936.000000
thres:0.031478	0.751512	0.281640	correct:5964.000000	recognized:21176.000000	all:7936.000000
thres:0.041971	0.748488	0.283546	correct:5940.000000	recognized:20949.000000	all:7936.000000
thres:0.052463	0.745590	0.284772	correct:5917.000000	recognized:20778.000000	all:7936.000000
thres:0.062956	0.742440	0.285507	correct:5892.000000	recognized:20637.000000	all:7936.000000
thres:0.073449	0.739541	0.285846	correct:5869.000000	recognized:20532.000000	all:7936.000000
thres:0.083942	0.736139	0.287062	correct:5842.000000	recognized:20351.000000	all:7936.000000
thres:0.094434	0.733367	0.287820	correct:5820.000000	recognized:20221.000000	all:7936.000000
thres:0.104927	0.729587	0.288850	correct:5790.000000	recognized:20045.000000	all:7936.000000
thres:0.115420	0.726815	0.289573	correct:5768.000000	recognized:19919.000000	all:7936.000000
thres:0.125912	0.723790	0.290042	correct:5744.000000	recognized:19804.000000	all:7936.000000
thres:0.136405	0.721018	0.290737	correct:5722.000000	recognized:19681.000000	all:7936.000000
thres:0.146898	0.716986	0.291302	correct:5690.000000	recognized:19533.000000	all:7936.000000
thres:0.157390	0.711946	0.292095	correct:5650.000000	recognized:19343.000000	all:7936.000000
thres:0.167883	0.706905	0.293287	correct:5610.000000	recognized:19128.000000	all:7936.000000
thres:0.178376	0.703503	0.293672	correct:5583.000000	recognized:19011.000000	all:7936.000000
thres:0.188868	0.700605	0.294071	correct:5560.000000	recognized:18907.000000	all:7936.000000
thres:0.199361	0.696825	0.295580	correct:5530.000000	recognized:18709.000000	all:7936.000000
thres:0.209854	0.693044	0.296113	correct:5500.000000	recognized:18574.000000	all:7936.000000
thres:0.220346	0.688634	0.296592	correct:5465.000000	recognized:18426.000000	all:7936.000000
thres:0.230839	0.685484	0.297316	correct:5440.000000	recognized:18297.000000	all:7936.000000
thres:0.241332	0.681578	0.299634	correct:5409.000000	recognized:18052.000000	all:7936.000000
thres:0.251825	0.677041	0.300050	correct:5373.000000	recognized:17907.000000	all:7936.000000
thres:0.262317	0.673639	0.300878	correct:5346.000000	recognized:17768.000000	all:7936.000000
thres:0.272810	0.669859	0.301788	correct:5316.000000	recognized:17615.000000	all:7936.000000
thres:0.283303	0.666709	0.303053	correct:5291.000000	recognized:17459.000000	all:7936.000000
thres:0.293795	0.662550	0.304882	correct:5258.000000	recognized:17246.000000	all:7936.000000
thres:0.304288	0.658266	0.321180	correct:5224.000000	recognized:16265.000000	all:7936.000000
thres:0.314781	0.654990	0.322097	correct:5198.000000	recognized:16138.000000	all:7936.000000
thres:0.325273	0.650958	0.323441	correct:5166.000000	recognized:15972.000000	all:7936.000000
thres:0.335766	0.647807	0.326454	correct:5141.000000	recognized:15748.000000	all:7936.000000
thres:0.346259	0.643775	0.327710	correct:5109.000000	recognized:15590.000000	all:7936.000000
thres:0.356751	0.639617	0.328459	correct:5076.000000	recognized:15454.000000	all:7936.000000
thres:0.367244	0.636089	0.330064	correct:5048.000000	recognized:15294.000000	all:7936.000000
thres:0.377737	0.630418	0.330996	correct:5003.000000	recognized:15115.000000	all:7936.000000
thres:0.388230	0.626134	0.332575	correct:4969.000000	recognized:14941.000000	all:7936.000000
thres:0.398722	0.623110	0.334031	correct:4945.000000	recognized:14804.000000	all:7936.000000
thres:0.409215	0.618448	0.334241	correct:4908.000000	recognized:14684.000000	all:7936.000000
thres:0.419708	0.614541	0.339908	correct:4877.000000	recognized:14348.000000	all:7936.000000
thres:0.430200	0.610005	0.340700	correct:4841.000000	recognized:14209.000000	all:7936.000000
thres:0.440693	0.606603	0.341394	correct:4814.000000	recognized:14101.000000	all:7936.000000
thres:0.451186	0.600806	0.341939	correct:4768.000000	recognized:13944.000000	all:7936.000000
thres:0.461678	0.596396	0.342475	correct:4733.000000	recognized:13820.000000	all:7936.000000
thres:0.472171	0.587324	0.344265	correct:4661.000000	recognized:13539.000000	all:7936.000000
thres:0.482664	0.581275	0.345621	correct:4613.000000	recognized:13347.000000	all:7936.000000
thres:0.493156	0.577747	0.346195	correct:4585.000000	recognized:13244.000000	all:7936.000000
thres:0.503649	0.572329	0.346268	correct:4542.000000	recognized:13117.000000	all:7936.000000
thres:0.514142	0.567288	0.346681	correct:4502.000000	recognized:12986.000000	all:7936.000000
thres:0.524634	0.560106	0.345753	correct:4445.000000	recognized:12856.000000	all:7936.000000
thres:0.535127	0.554561	0.346481	correct:4401.000000	recognized:12702.000000	all:7936.000000
thres:0.545620	0.549773	0.347927	correct:4363.000000	recognized:12540.000000	all:7936.000000
thres:0.556113	0.544985	0.348285	correct:4325.000000	recognized:12418.000000	all:7936.000000
thres:0.566605	0.541331	0.352160	correct:4296.000000	recognized:12199.000000	all:7936.000000
thres:0.577098	0.536920	0.353258	correct:4261.000000	recognized:12062.000000	all:7936.000000
thres:0.587591	0.531376	0.352917	correct:4217.000000	recognized:11949.000000	all:7936.000000
thres:0.598083	0.526336	0.352698	correct:4177.000000	recognized:11843.000000	all:7936.000000
thres:0.608576	0.519531	0.353118	correct:4123.000000	recognized:11676.000000	all:7936.000000
thres:0.619069	0.514365	0.352687	correct:4082.000000	recognized:11574.000000	all:7936.000000
thres:0.629561	0.510585	0.353856	correct:4052.000000	recognized:11451.000000	all:7936.000000
thres:0.640054	0.506300	0.354446	correct:4018.000000	recognized:11336.000000	all:7936.000000
thres:0.650547	0.502394	0.355031	correct:3987.000000	recognized:11230.000000	all:7936.000000
thres:0.661039	0.495716	0.354542	correct:3934.000000	recognized:11096.000000	all:7936.000000
thres:0.671532	0.493070	0.356505	correct:3913.000000	recognized:10976.000000	all:7936.000000
thres:0.682025	0.488785	0.358868	correct:3879.000000	recognized:10809.000000	all:7936.000000
thres:0.692518	0.481855	0.359331	correct:3824.000000	recognized:10642.000000	all:7936.000000
thres:0.703010	0.476941	0.360305	correct:3785.000000	recognized:10505.000000	all:7936.000000
thres:0.713503	0.471144	0.373005	correct:3739.000000	recognized:10024.000000	all:7936.000000
thres:0.723996	0.461316	0.373001	correct:3661.000000	recognized:9815.000000	all:7936.000000
thres:0.734488	0.455267	0.376982	correct:3613.000000	recognized:9584.000000	all:7936.000000
thres:0.744981	0.449849	0.377259	correct:3570.000000	recognized:9463.000000	all:7936.000000
thres:0.755474	0.446069	0.381014	correct:3540.000000	recognized:9291.000000	all:7936.000000
thres:0.765966	0.442162	0.381579	correct:3509.000000	recognized:9196.000000	all:7936.000000
thres:0.776459	0.438256	0.384607	correct:3478.000000	recognized:9043.000000	all:7936.000000
thres:0.786952	0.433342	0.384719	correct:3439.000000	recognized:8939.000000	all:7936.000000
thres:0.797444	0.429309	0.386106	correct:3407.000000	recognized:8824.000000	all:7936.000000
thres:0.807937	0.425151	0.391733	correct:3374.000000	recognized:8613.000000	all:7936.000000
thres:0.818430	0.419607	0.391719	correct:3330.000000	recognized:8501.000000	all:7936.000000
thres:0.828922	0.411794	0.390862	correct:3268.000000	recognized:8361.000000	all:7936.000000
thres:0.839415	0.406880	0.390825	correct:3229.000000	recognized:8262.000000	all:7936.000000
thres:0.849908	0.400958	0.389951	correct:3182.000000	recognized:8160.000000	all:7936.000000
thres:0.860401	0.395413	0.388992	correct:3138.000000	recognized:8067.000000	all:7936.000000
thres:0.870893	0.391255	0.388757	correct:3105.000000	recognized:7987.000000	all:7936.000000
thres:0.881386	0.388609	0.389050	correct:3084.000000	recognized:7927.000000	all:7936.000000
thres:0.891879	0.384199	0.388903	correct:3049.000000	recognized:7840.000000	all:7936.000000
thres:0.902371	0.379536	0.388144	correct:3012.000000	recognized:7760.000000	all:7936.000000
thres:0.912864	0.375756	0.388484	correct:2982.000000	recognized:7676.000000	all:7936.000000
thres:0.923357	0.370590	0.388661	correct:2941.000000	recognized:7567.000000	all:7936.000000
thres:0.933849	0.365423	0.387804	correct:2900.000000	recognized:7478.000000	all:7936.000000
thres:0.944342	0.360131	0.388052	correct:2858.000000	recognized:7365.000000	all:7936.000000
thres:0.954835	0.354209	0.388045	correct:2811.000000	recognized:7244.000000	all:7936.000000
thres:0.965327	0.350680	0.387875	correct:2783.000000	recognized:7175.000000	all:7936.000000
thres:0.975820	0.347404	0.394421	correct:2757.000000	recognized:6990.000000	all:7936.000000
thres:0.986313	0.342112	0.397104	correct:2715.000000	recognized:6837.000000	all:7936.000000
thres:0.996806	0.336946	0.397148	correct:2674.000000	recognized:6733.000000	all:7936.000000
thres:1.007298	0.332913	0.398311	correct:2642.000000	recognized:6633.000000	all:7936.000000
thres:1.017791	0.329889	0.399878	correct:2618.000000	recognized:6547.000000	all:7936.000000
thres:1.028284	0.327117	0.400865	correct:2596.000000	recognized:6476.000000	all:7936.000000
thres:1.038776	0.322581	0.401632	correct:2560.000000	recognized:6374.000000	all:7936.000000
thres:1.049269	0.317918	0.401560	correct:2523.000000	recognized:6283.000000	all:7936.000000
thres:1.059762	0.314138	0.402877	correct:2493.000000	recognized:6188.000000	all:7936.000000
thres:1.070254	0.310610	0.404762	correct:2465.000000	recognized:6090.000000	all:7936.000000
thres:1.080747	0.308216	0.405101	correct:2446.000000	recognized:6038.000000	all:7936.000000
thres:1.091240	0.303679	0.403753	correct:2410.000000	recognized:5969.000000	all:7936.000000
thres:1.101732	0.299017	0.405364	correct:2373.000000	recognized:5854.000000	all:7936.000000
thres:1.112225	0.295489	0.405780	correct:2345.000000	recognized:5779.000000	all:7936.000000
thres:1.122718	0.291331	0.408408	correct:2312.000000	recognized:5661.000000	all:7936.000000
thres:1.133211	0.288432	0.408677	correct:2289.000000	recognized:5601.000000	all:7936.000000
thres:1.143703	0.284274	0.409586	correct:2256.000000	recognized:5508.000000	all:7936.000000
thres:1.154196	0.281124	0.409583	correct:2231.000000	recognized:5447.000000	all:7936.000000
thres:1.164689	0.276084	0.410684	correct:2191.000000	recognized:5335.000000	all:7936.000000
