a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.Judgments	a.comment	a.rank	m._Q1	m._Sno	m._Q2	b.data
wilfred	1005	1005	d77f00766fd3be3f2189c843a6af3fb2	1958	2015-09-25	QueryPair2K0917	Excellent		0	car rentals in oahu honolulu	1958	honolulu car rentals	car rentals in oahu honolulu
wilfred	1023	1023	d2cdf047a6674cef251d56544a3cf029	1757	2015-09-24	QueryPair2K0917	Excellent		0	airline tickets venice	1757	venice airline ticket	airline tickets venice
wilfred	1032	1032	06a81a4fb98d149f2d31c68828fa6eb2	1593	2015-09-25	QueryPair2K0917	Good		0	hotel suites metairie	1593	ramada limited metairie hotel	hotel suites metairie
wilfred	1036	1036	06964dce9addb1c5cb5d6e3d9838f733	1997	2015-09-23	QueryPair2K0917	Good		0	cheap hotels south padre island on	1997	hotels on south padre island beach	cheap hotels south padre island on
wilfred	1087	1087	3806734b256c27e41ec2c6bffa26d9e7	1028	2015-09-23	QueryPair2K0917	Fair		3	cruise bahamas	1028	cruise tours to bahamas	cruise bahamas
wilfred	1087	1087	58ae749f25eded36f486bc85feb3f0ab	561	2015-09-23	QueryPair2K0917	Good		1	cruise bahamas	561	cheapest cruise bahamas	cruise bahamas
wilfred	1087	1087	839ab46820b524afda05122893c2fe8e	289	2015-09-23	QueryPair2K0917	Good		0	cruise bahamas	289	cruises from bahamas	cruise bahamas
wilfred	1087	1087	da8ce53cf0240070ce6c69c48cd588ee	793	2015-09-23	QueryPair2K0917	Good		2	cruise bahamas	793	cruises around bahamas	cruise bahamas
wilfred	1087	1087	de73998802680548b916f1947ffbad76	1971	2015-09-23	QueryPair2K0917	Good		4	cruise bahamas	1971	bahamas vacation cruise	cruise bahamas
wilfred	1093	1093	4edaa105d5f53590338791951e38c3ad	1403	2015-09-24	QueryPair2K0917	Good		0	hotel arroyo grande arroyo grande	1403	hotels close to arroyo grande	hotel arroyo grande arroyo grande
wilfred	1095	1095	46771d1f432b42343f56f791422a4991	1407	2015-09-23	QueryPair2K0917	Good		0	best hotels athen	1407	hotels athen	best hotels athen
wilfred	1107	1107	7895fc13088ee37f511913bac71fa66f	1434	2015-09-25	QueryPair2K0917	Excellent		0	oceanfront hotels cocoa beach florida	1434	cocoa beach florida hotels oceanfront	oceanfront hotels cocoa beach florida
wilfred	112	112	34173cb38f07f89ddbebc2ac9128303f	30	2015-09-24	QueryPair2K0917	Fair		0	hotels.com nyc theater district	30	hotels nyc theater district	hotels.com nyc theater district
wilfred	1120	1120	85fc37b18c57097425b52fc7afbb6969	621	2015-09-23	QueryPair2K0917	Good		0	the hotel in new york long beach ny	621	hotel in long beach ny	the hotel in new york long beach ny
