a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.titlequality	a.titlelowquality	a.linkquality	a.linklowquality	a.commentsnotes	a.rank	m._domain_url	m._ql_title	m._control	m._ql_url
josehernandez	23	23	059b0e07516b04b0d5274bcd80552616	391http://www.basspro.com/	2014-10-16	quicklinks009	1		1			1	http://www.basspro.com/	Fishing	391	http://www.basspro.com/Fishing/_/T-12100000000
josehernandez	23	23	26f495bd893e72287eeb0c6f08d55924	390http://www.basspro.com/	2014-10-16	quicklinks009	4	Too long	4	Other		0	http://www.basspro.com/	Bass Pro Store Blogs	390	http://blogs.basspro.com/
josehernandez	23	23	3c5d0299c907080f0309219d2d54d72e	393http://www.basspro.com/	2014-10-16	quicklinks009	4	Misspelled,Bad capitalization	4	Other		3	http://www.basspro.com/	blank My Cart0	393	http://www.basspro.com/Remington-870-Express-Youth-Pump-20-Gauge-Shotgun/product/10218604/
josehernandez	23	23	9863db21b85e9ecd3f2ae2a9aece3089	392http://www.basspro.com/	2014-10-16	quicklinks009	1		1			2	http://www.basspro.com/	Hunting	392	http://www.basspro.com/Hunting/_/T-12425000000
josehernandez	23	23	c5ef2cd556fdbed2952bc3f239fa0d58	395http://www.basspro.com/	2014-10-16	quicklinks009	4	Other	4	Other		5	http://www.basspro.com/	Website	395	http://www.basspro.com/webapp/wcs/stores/servlet/CFPageC?storeId=10151&appID=94&storeID=34
josehernandez	23	23	e5eb873b82c54ab214b57eea9cd56b60	394http://www.basspro.com/	2014-10-16	quicklinks009	4	Other	4	Other		4	http://www.basspro.com/	Bass Pro	394	http://www.basspro.com/webapp/wcs/stores/servlet/CFPageC?storeId=10151
josehernandez	24	24	17562b1e2a9dd8fff07d83430278a262	150http://mail.aol.com/	2014-10-16	quicklinks009	4	Garbage characters,Other	4	Other		1	http://mail.aol.com/	(admin@warsashsc.org.uk	150	http://mail.aol.com/37058-111/aol-6/en-us/suite.aspx
josehernandez	24	24	3bae40b96b454729d8125e48d7eaac3e	151http://mail.aol.com/	2014-10-16	quicklinks009	4	Irrelevant	4	Other		2	http://mail.aol.com/	New York Post	151	http://mail.aol.com/37130-111/aol-6/en-us/Suite.aspx
josehernandez	24	24	4972567daa11df66c3ea7e3e93bd49ed	155http://mail.aol.com/	2014-10-16	quicklinks009	1		1			6	http://mail.aol.com/	AOL Mail	155	http://mail.aol.com/?offerId=newmail-testd-en-us
josehernandez	24	24	ac00a792b74b0af283d0bdda520092f7	154http://mail.aol.com/	2014-10-16	quicklinks009	1		1			5	http://mail.aol.com/	AIM Mail	154	http://mail.aol.com/?offerId=aimmail-en-us/
josehernandez	24	24	b357af30100c41efdb0788dc41bb82bf	149http://mail.aol.com/	2014-10-16	quicklinks009	4	Irrelevant	4	Other		0	http://mail.aol.com/	The Washington Post "Wonkbook"	149	http://mail.aol.com/33636-111/aol-6/en-us/Suite.aspx
josehernandez	24	24	c0868d29e0203a3f3aeac78036a10bd0	152http://mail.aol.com/	2014-10-16	quicklinks009	4	Too long,Irrelevant	4	Other		3	http://mail.aol.com/	Philadelphia latest U.S. city to sue big banks in Libor scandal	152	http://mail.aol.com/37938-111/aol-6/en-us/Suite.aspx
