a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.qlvalue	a.rank	m._quicklink	m._qltitle	m._seedURL	m._control
viveca	8	8	ce818d7f7399a8beba0681043e3b3493	1685http://www.fedex.com/gb/careers/	2014-11-26	qlrescale002	Uncertain	0	http://www.fedex.com/gb/careers/	Career Gateway | FedEx United Kingdom	http://www.fedex.com/	1685
viveca	8	8	e814e2ad91ec1de5b1687c1516ed0b4f	1686http://www.fedex.com/us/customersupport/call/index.html	2014-11-26	qlrescale002	Uncertain	1	http://www.fedex.com/us/customersupport/call/index.html	Additional phone & mailing information	http://www.fedex.com/	1686
viveca	15	15	0cae1c255741f748e2228bb9c72a4f23	2139http://www.k12.com/azva	2014-11-26	qlrescale002	Uncertain	7	http://www.k12.com/azva	Arizona Virtual Academy	http://www.k12.com/	2139
viveca	15	15	0ee132261ef1c07e7ef50ec2e5dfbf24	2133http://www.k12.com/ohva	2014-11-26	qlrescale002	Uncertain	1	http://www.k12.com/ohva	Ohio Virtual Academy	http://www.k12.com/	2133
viveca	15	15	116f4bc668bec0a3dbb3fb24ba1c0c3b	2134http://www.k12.com/gca	2014-11-26	qlrescale002	Uncertain	2	http://www.k12.com/gca	Georgia Cyber Academy	http://www.k12.com/	2134
viveca	15	15	7ebd706ec3dd6a0ca1e440a3905ea0d0	2135http://www.k12.com/txva	2014-11-26	qlrescale002	Uncertain	3	http://www.k12.com/txva	Texas Virtual Academy	http://www.k12.com/	2135
viveca	15	15	8b983b3926522731417203005f960921	2140http://www.k12.com/schools-programs	2014-11-26	qlrescale002	Definitely YES	8	http://www.k12.com/schools-programs	Schools & Programs	http://www.k12.com/	2140
viveca	15	15	8efdca8b35812e73f69d5f3a49219bc2	2132http://www.k12.com/schools-programs/online-public-schools	2014-11-26	qlrescale002	Uncertain	0	http://www.k12.com/schools-programs/online-public-schools	Online Public Schools	http://www.k12.com/	2132
viveca	15	15	ad305ff3f35d37d9fc38dd12b40e4cdb	2141http://www.k12.com/scvcs	2014-11-26	qlrescale002	Uncertain	9	http://www.k12.com/scvcs	South Carolina Virtual Charter School	http://www.k12.com/	2141
viveca	15	15	bb61152af433f69258ccb60f1c64ce86	2136http://help.k12.com/support-topics/ols-online-school/virtual-academyvirtual-school-program/k-8/ols-login	2014-11-26	qlrescale002	Uncertain	4	http://help.k12.com/support-topics/ols-online-school/virtual-academyvirtual-school-program/k-8/ols-login	OLS Login	http://www.k12.com/	2136
