a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.qlvalue	a.rank
viveca	6	6	2317727ad6ff94b6d7ffdd641deaff65	2345http://godhatesfags.com/	2014-12-10	qlpatch	Definitely YES	0
viveca	7	7	1d0477bd4c75bd67bfa7337fc1fd13bf	1018http://www.chess.com/	2014-12-10	qlpatch	Uncertain	0
viveca	7	7	1fb381ec041293be69f4b0e954ca3c7e	1019http://www.chess.com/	2014-12-10	qlpatch	NJ	1
viveca	7	7	30085f3651891da3a485c9f6c37d63f1	1021http://www.chess.com/	2014-12-10	qlpatch	Uncertain	3
viveca	7	7	688baa839d33a1caf5acbe22b11d0c9c	1022http://www.chess.com/	2014-12-10	qlpatch	NJ	4
viveca	7	7	7f4ae91aa3ec2212421a2dfc4732c499	1020http://www.chess.com/	2014-12-10	qlpatch	NJ	2
viveca	8	8	79f3bfd5681bde42c4b61a530e0fc08a	1213http://www.juno.com/	2014-12-11	qlpatch	Uncertain	1
viveca	8	8	8df5e3adb8702b2b3d1ba7ed3b4c31bd	1212http://www.juno.com/	2014-12-11	qlpatch	Uncertain	0
viveca	13	13	010c2362c49d2df0f6bc0436ebc5c918	1351http://xfinitytv.comcast.net/	2014-12-11	qlpatch	Definitely YES	0
viveca	13	13	1efaaefd8982dc4586c8fc9192049d32	1353http://xfinitytv.comcast.net/	2014-12-11	qlpatch	Definitely YES	2
viveca	13	13	736af37070b34b34a20f1d0fe3d631d4	1352http://xfinitytv.comcast.net/	2014-12-11	qlpatch	Definitely YES	1
viveca	13	13	7d7859559fc0a4e3458a7fb0e20ae517	1354http://xfinitytv.comcast.net/	2014-12-11	qlpatch	Uncertain	3
viveca	13	13	987f0dfc0501748a49d59bab2e37fc92	1357http://xfinitytv.comcast.net/	2014-12-11	qlpatch	NJ	6
viveca	13	13	a82e08172ba96ef128e3bc918c36981b	1356http://xfinitytv.comcast.net/	2014-12-11	qlpatch	Uncertain	5
viveca	13	13	b43e6700362ef9ca19c5ff592bc254a3	1355http://xfinitytv.comcast.net/	2014-12-11	qlpatch	Uncertain	4
viveca	13	13	c7411c68f7889ee480dd0545c97ee637	1358http://xfinitytv.comcast.net/	2014-12-11	qlpatch	Definitely YES	7
viveca	21	21	1e15c8449d62f18971658617d30041a5	1574http://blog.doctoroz.com/	2014-12-10	qlpatch	Definitely NO	0
viveca	21	21	9c18d940a3832e77f8f253b2f20e3981	1575http://blog.doctoroz.com/	2014-12-10	qlpatch	Definitely NO	1
viveca	24	24	2d8630f6ee0eb75093cdcf92b1de65d8	2375https://ditkasrestaurants.com/	2014-12-11	qlpatch	Uncertain	0
viveca	26	26	23e3eef926dfac00d80c17a7a57e9bc2	1669http://careers.staples.com/	2014-12-10	qlpatch	Uncertain	3
viveca	26	26	705a7b5d6df6a7b1bd663fadcea52b0f	1667http://careers.staples.com/	2014-12-10	qlpatch	Uncertain	1
viveca	26	26	abcc57ff86010bca2ef1ecf7ed18b7f9	1666http://careers.staples.com/	2014-12-10	qlpatch	Uncertain	0
viveca	26	26	dcc79c1b282edc957b7cc191df5c6985	1668http://careers.staples.com/	2014-12-10	qlpatch	Uncertain	2
viveca	30	30	3490598ba407e01af2d3eb6f7c1b04e6	2387http://www.nytimes.com/	2014-12-10	qlpatch	Definitely NO	3
viveca	30	30	71ee9130cfd1810e2ef8d07b63ed8e61	2385http://www.nytimes.com/	2014-12-10	qlpatch	Definitely YES	1
viveca	30	30	89d128615de7a512e6c44ddf3cb2f2bc	2386http://www.nytimes.com/	2014-12-10	qlpatch	Uncertain	2
viveca	30	30	a07f6a76d5be4b4ebd48d6db85784535	2384http://www.nytimes.com/	2014-12-10	qlpatch	Uncertain	0
viveca	30	30	b248a0633911a6f7b0d817ef625cae04	2389http://www.nytimes.com/	2014-12-10	qlpatch	Uncertain	5
viveca	30	30	ee186efa83d265d7ac14cda913d6ae6a	2388http://www.nytimes.com/	2014-12-10	qlpatch	Definitely YES	4
viveca	31	31	58ba97e12630b1905d35f7f31c88abcb	1855http://www.disneystore.com/	2014-12-10	qlpatch	Definitely YES	5
viveca	31	31	5dcdfaa2d994d4ff05dc34fc7208da1d	1852http://www.disneystore.com/	2014-12-10	qlpatch	Uncertain	2
viveca	31	31	74fda070d5f428b546ae60c0d5ebf8a6	1853http://www.disneystore.com/	2014-12-10	qlpatch	Uncertain	3
viveca	31	31	9a146147b87b9a6e44830b5f02804e85	1851http://www.disneystore.com/	2014-12-10	qlpatch	Uncertain	1
viveca	31	31	a16b6f5ff00465363b1785ff266362dd	1856http://www.disneystore.com/	2014-12-10	qlpatch	Definitely YES	6
viveca	31	31	d9a679fe8b41c51fdd4b4fdda8d4a77d	1854http://www.disneystore.com/	2014-12-10	qlpatch	Uncertain	4
viveca	31	31	fb342fcf1a8816e72e173025a68b70e9	1850http://www.disneystore.com/	2014-12-10	qlpatch	Uncertain	0
viveca	32	32	b25bdf2c486e7c68f57f0d9cca02db4a	2390http://kohlscareers.com/	2014-12-10	qlpatch	Uncertain	0
