a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.titlequality	a.titlelowquality	a.linkquality	a.linklowquality	a.commentsnotes	a.rank	m._domain_url	m._ql_title	m._strangexml	m._unkvalue	m._ql_url	m._control
viveca	7	7	02ec98e56812577b675268acdf188560	889http://www.ebay.com/	2015-03-05	quicklinksbeta	1		4	Topic too specific	Too deep: Motors &gt; Parts & Accessories	0	http://www.ebay.com/	Parts & Accessories	../v4.12.newdoms.0.03.150.1b.xml	4	http://parts.motors.ebay.com/Parts-Accessories/6028/	889
viveca	7	7	5d209da5c4a9938f8674d56a5d830660	894http://www.ebay.com/	2015-03-05	quicklinksbeta	1		1			5	http://www.ebay.com/	Motors	../v4.12.newdoms.0.03.150.1b.xml	2	http://www.motors.ebay.com/	894
viveca	7	7	8be817e214e2db9caf6c4ad487c2c94d	893http://www.ebay.com/	2015-03-05	quicklinksbeta	4	Irrelevant	1		Motors (redirects to Motors main page.)	4	http://www.ebay.com/	Buy	../v4.12.newdoms.0.03.150.1b.xml	5	http://hub.motors.ebay.com/buy	893
viveca	7	7	ad6a5d389e6f4c0f7e16d832a4144eb3	890http://www.ebay.com/	2015-03-05	quicklinksbeta	4	Irrelevant	4		Same as seed URL; Home page	1	http://www.ebay.com/	Mobile	../v4.12.newdoms.0.03.150.1b.xml	3	http://ebay.com	890
viveca	7	7	e867fb88caabbb77b25a6ce9e4ab112c	891http://www.ebay.com/	2015-03-05	quicklinksbeta	2		2			2	http://www.ebay.com/	My eBay	../v4.12.newdoms.0.03.150.1b.xml	1	http://my.ebay.com/	891
viveca	7	7	fa244aa0adadd047d4340a659ec9ab81	892http://www.ebay.com/	2015-03-05	quicklinksbeta	3	Too long	1		Fashion	3	http://www.ebay.com/	Clothing, Shoes & Accessories	../v4.12.newdoms.0.03.150.1b.xml	6	http://fashion.ebay.com/	892
viveca	10	10	40d940f520c59caef18da2b0edf80136	862http://www.theblackkeys.com/	2015-03-05	quicklinksbeta	2		1			3	http://www.theblackkeys.com/	Store Home	../v4.12.newdoms.0.03.150.1b.xml	5	http://store.theblackkeys.com/	862
viveca	10	10	a678d8a5c951874791809450eb36bfe3	859http://www.theblackkeys.com/	2015-03-05	quicklinksbeta	1		1			0	http://www.theblackkeys.com/	Music	../v4.12.newdoms.0.03.150.1b.xml	2	http://store.theblackkeys.com/music-1.html	859
viveca	10	10	b392928656b6600675bff5da02bf7501	860http://www.theblackkeys.com/	2015-03-05	quicklinksbeta	1		1			1	http://www.theblackkeys.com/	Store	../v4.12.newdoms.0.03.150.1b.xml	3	http://store.theblackkeys.com/?q=store	860
viveca	10	10	e6d33d7cec4a4199134b85adb1c90e12	861http://www.theblackkeys.com/	2015-03-05	quicklinksbeta	1		1			2	http://www.theblackkeys.com/	News	../v4.12.newdoms.0.03.150.1b.xml	4	http://www.theblackkeys.com/news	861
