a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.linkquality	a.linklowquality	a.commentsnotes	a.rank	m._domain_url	m._ql_title	m._unkvalue	m._control	m._ql_url
viveca	4	4	170a3cc3f8079d4ed76960773eb18a26	2311https://rcam.target.com/	2015-03-20	ql20150318	1			2	https://rcam.target.com/	Redcard Activation	n2311	2311	http://rcam.target.com/ActivateDebitCard.aspx
viveca	4	4	7e6617dda16fc4c04df955b32575c4ae	2310https://rcam.target.com/	2015-03-20	ql20150318	1			1	https://rcam.target.com/	Manage My Account	n2310	2310	http://rcam.target.com/?ref=nav_manageredcard
viveca	4	4	819391157ed39967e032cc1cc9fe39f4	2312https://rcam.target.com/	2015-03-20	ql20150318	1			3	https://rcam.target.com/	Enroll: Redcard ..	n2312	2312	http://rcam.target.com/Enroll.aspx
viveca	4	4	a734c26a4be8e6facf293405a0fcc9a9	2315https://rcam.target.com/	2015-03-20	ql20150318	2			6	https://rcam.target.com/	Card Information	n2315	2315	https://rcam.target.com/help/HelpDebitFAQ.aspx
viveca	4	4	b75ee0de1a17c12e437978a8421cab52	2313https://rcam.target.com/	2015-03-20	ql20150318	1			4	https://rcam.target.com/	Enroll: Redcard ...	n2313	2313	http://rcam.target.com/Enroll.aspx
viveca	4	4	cc004cb3df6c337ef46a483ac173cfe0	2309https://rcam.target.com/	2015-03-20	ql20150318	1			0	https://rcam.target.com/	Coupon	n2309	2309	http://coupons.target.com/redcard-coupons
viveca	4	4	fda4d7b8932ed72b8bdd35603ee80317	2314https://rcam.target.com/	2015-03-20	ql20150318	4	Low quality		5	https://rcam.target.com/	Sign Out	n2314	2314	http://rcam.target.com/logout.aspx
viveca	26	26	061ec627f9f0d6884f8ea306a5c516d0	1116http://www.free-printable-calendar.net/	2015-03-20	ql20150318	3	Topic too specific		6	http://www.free-printable-calendar.net/	July 2015 Calendar	n1116	1116	http://www.free-printable-calendar.net/july-2015-calendar-template.html
viveca	26	26	27b7ec46b4dcd27d8bbb6ab462441605	1112http://www.free-printable-calendar.net/	2015-03-20	ql20150318	4	Topic too specific		2	http://www.free-printable-calendar.net/	2015 Holiday Calendar	n1112	1112	http://www.free-printable-calendar.net/2015-holiday-calendar.html
viveca	26	26	41fa145cf9ff9732e39412a7937608ff	1118http://www.free-printable-calendar.net/	2015-03-20	ql20150318	3	Topic too specific		8	http://www.free-printable-calendar.net/	May 2015 Calendar	n1118	1118	http://www.free-printable-calendar.net/may-2015-calendar-template.html
viveca	26	26	5557a97a511074d1b9ccbc30b24025e0	1114http://www.free-printable-calendar.net/	2015-03-20	ql20150318	4	Topic too specific		4	http://www.free-printable-calendar.net/	February 2015 Calendar	n1114	1114	http://www.free-printable-calendar.net/february-2015-calendar.html
viveca	26	26	5a88b0f3913fe33e6b3ccdb0048bc3bd	1110http://www.free-printable-calendar.net/	2015-03-20	ql20150318	2			0	http://www.free-printable-calendar.net/	2014 Calendar	n1110	1110	http://www.free-printable-calendar.net/2014-calendar.html
viveca	26	26	85f4fa35e29e35adc3bb3ad0fde3009f	1111http://www.free-printable-calendar.net/	2015-03-20	ql20150318	4	Topic too specific		1	http://www.free-printable-calendar.net/	November 2014 Printable	n1111	1111	http://www.free-printable-calendar.net/2014-november.html
viveca	26	26	cbf76cf179e8ced51363414c241a2fde	1113http://www.free-printable-calendar.net/	2015-03-20	ql20150318	2			3	http://www.free-printable-calendar.net/	2015 Pocket Calendar	n1113	1113	http://www.free-printable-calendar.net/2015-pocket-calendar.html
viveca	26	26	d8a70ccc9db9f2f94c30d7fab6c9801e	1117http://www.free-printable-calendar.net/	2015-03-20	ql20150318	3	Topic too specific		7	http://www.free-printable-calendar.net/	March 2015 Calendar	n1117	1117	http://www.free-printable-calendar.net/march-2015-calendar-template.html
viveca	26	26	f88fff84cd83851d4b8e1352e40ed25f	1115http://www.free-printable-calendar.net/	2015-03-20	ql20150318	3	Topic too specific		5	http://www.free-printable-calendar.net/	January 2015 Calendar	n1115	1115	http://www.free-printable-calendar.net/january-2015-calendar-template.html
viveca	49	49	3932607a8fe50d1d8fa55bff79d15275	2211https://cs.kohls.com/	2015-03-20	ql20150318	3	Topic too specific		6	https://cs.kohls.com/	Kohl's Charge Payment ...	n2211	2211	https://cs.kohls.com/app/answers/detail/a_id/229/~/kohls-charge-payment-options
viveca	49	49	5a54500fd09bafb4c955884e2128f22c	2205https://cs.kohls.com/	2015-03-20	ql20150318	1			0	https://cs.kohls.com/	Contact Us	n2205	2205	http://cs.kohls.com/app/answers/detail/a_id/623/~/contact-us
viveca	49	49	5c8a2f03120577611444025deea6e49f	2206https://cs.kohls.com/	2015-03-20	ql20150318	2			1	https://cs.kohls.com/	Find Answers	n2206	2206	http://cs.kohls.com/app/answers/help_topic/c/22,4
viveca	49	49	93e8d78cf3359488d2e8adeab95f08d4	2212https://cs.kohls.com/	2015-03-20	ql20150318	4		Home page (app)	7	https://cs.kohls.com/	Customer Service	n2212	2212	https://cs.kohls.com/app/home
viveca	49	49	aa36f50b5425bfd43c8348c711d97696	2207https://cs.kohls.com/	2015-03-20	ql20150318	2			2	https://cs.kohls.com/	Returns & Exchanges	n2207	2207	http://cs.kohls.com/app/answers/help_topic/c/22,4
viveca	49	49	b96fda9dea8989a66e59d806889cda27	2209https://cs.kohls.com/	2015-03-20	ql20150318	2			4	https://cs.kohls.com/	Kohl's Charge Account	n2209	2209	http://cs.kohls.com/app/answers/help_topic/c/8,18
viveca	49	49	bf7f887ec98b294ca8320033e6bc6401	2208https://cs.kohls.com/	2015-03-20	ql20150318	2			3	https://cs.kohls.com/	Charge Account	n2208	2208	http://cs.kohls.com/app/answers/help_topic/c/8,18
viveca	49	49	c751d40e8b444975f4f8692e73e1dbbd	2210https://cs.kohls.com/	2015-03-20	ql20150318	2			5	https://cs.kohls.com/	Yes2you Rewards	n2210	2210	https://cs.kohls.com/app/answers/detail/a_id/1119/~/yes2you-rewards
viveca	64	64	00605ebc6ea197291a14344637f731ef	1947http://www.topbabygames.com/	2015-03-20	ql20150318	4	Topic too specific		2	http://www.topbabygames.com/	Baby Hazel Funtime	n1947	1947	http://www.topbabygames.com/baby-hazel-funtime.html
viveca	64	64	4fc09f700f405607b29728d60f628048	1950http://www.topbabygames.com/	2015-03-20	ql20150318	1			5	http://www.topbabygames.com/	Popular	n1950	1950	http://www.topbabygames.com/popular-games.html
viveca	64	64	631a06ceada127cb018597406dc96fd4	1949http://www.topbabygames.com/	2015-03-20	ql20150318	1			4	http://www.topbabygames.com/	Girl Games	n1949	1949	http://www.topbabygames.com/girl-games.html
viveca	64	64	b4a9db19e1e6785afe2759a3047785d7	1951http://www.topbabygames.com/	2015-03-20	ql20150318	1			6	http://www.topbabygames.com/	Spa	n1951	1951	http://www.topbabygames.com/spa-games.html
viveca	64	64	c3bc4314d4e717829e87d988c541ca8b	1945http://www.topbabygames.com/	2015-03-20	ql20150318	1			0	http://www.topbabygames.com/	Animal	n1945	1945	http://www.topbabygames.com/animal-games.html
viveca	64	64	cd1f4f388bcc04c0b1de2d64eab91b3b	1946http://www.topbabygames.com/	2015-03-20	ql20150318	1			1	http://www.topbabygames.com/	Baby Care	n1946	1946	http://www.topbabygames.com/baby-care-games.html
viveca	64	64	ffc4a4d67a772373954d819bf399804c	1948http://www.topbabygames.com/	2015-03-20	ql20150318	1			3	http://www.topbabygames.com/	Babysitting	n1948	1948	http://www.topbabygames.com/babysitting-games.html
viveca	65	65	46c70c51d53992b73a57102364b2626d	834http://www.allmusic.com/	2015-03-20	ql20150318	1			2	http://www.allmusic.com/	Album	n834	834	http://www.allmusic.com/album/
viveca	65	65	4c5a8c5d93b125e4bd78ce91263bb407	838http://www.allmusic.com/	2015-03-20	ql20150318	1			6	http://www.allmusic.com/	Genres	n838	838	http://www.allmusic.com/genres
viveca	65	65	8eb9ca8c206795343fbb4a1d9b2c780e	832http://www.allmusic.com/	2015-03-20	ql20150318	3	Topic too specific		0	http://www.allmusic.com/	Pop/Rock	n832	832	http://allmusic.com/genre/pop-rock-ma0000002613
viveca	65	65	978d764cf1e3b80b1cef1de055ef6b81	833http://www.allmusic.com/	2015-03-20	ql20150318	5	404		1	http://www.allmusic.com/	New Releases	n833	833	http://allmusic.com/newreleases
viveca	65	65	9d81b1d09930e5ab9b62005cf1dfc58b	835http://www.allmusic.com/	2015-03-20	ql20150318	4	Topic too specific		3	http://www.allmusic.com/	Porno For Pyros	n835	835	http://www.allmusic.com/album/porno-for-pyros-mw0000094416
viveca	65	65	b906a3d792e8b9968dbe2e4a87aed7ca	837http://www.allmusic.com/	2015-03-20	ql20150318	2			5	http://www.allmusic.com/	Blog	n837	837	http://www.allmusic.com/blog
viveca	65	65	bcecb93229a9a73414e4f75f3f9a0a89	836http://www.allmusic.com/	2015-03-20	ql20150318	5	404		4	http://www.allmusic.com/	Artist	n836	836	http://www.allmusic.com/artist/
viveca	65	65	e88cbc61efd26fd220b2f286c54500f7	839http://www.allmusic.com/	2015-03-20	ql20150318	3	Topic too specific		7	http://www.allmusic.com/	Black Gospel	n839	839	http://www.allmusic.com/style/black-gospel-ma0000011926
viveca	84	84	02af6e421723a153c6cb1f957a63f39a	11http://acronyms.thefreedictionary.com/	2015-03-20	ql20150318	4	Topic too specific		3	http://acronyms.thefreedictionary.com/	Ff	n11	11	http://acronyms.thefreedictionary.com/FF
viveca	84	84	2b19b93060a3a9da341c282d43363c4d	13http://acronyms.thefreedictionary.com/	2015-03-20	ql20150318	4	Topic too specific		5	http://acronyms.thefreedictionary.com/	PA	n13	13	http://acronyms.thefreedictionary.com/PA
viveca	84	84	4c569355f1e9325e151a58f506d5fa31	10http://acronyms.thefreedictionary.com/	2015-03-20	ql20150318	4	Topic too specific		2	http://acronyms.thefreedictionary.com/	Cam	n10	10	http://acronyms.thefreedictionary.com/CAM
viveca	84	84	a36be70e5df73fc0e2f1aef1fbfa96c9	9http://acronyms.thefreedictionary.com/	2015-03-20	ql20150318	4	Topic too specific		1	http://acronyms.thefreedictionary.com/	Bol	n9	9	http://acronyms.thefreedictionary.com/BOL
viveca	84	84	a9a58f9d7a79fb2c433850df9bf68edb	14http://acronyms.thefreedictionary.com/	2015-03-20	ql20150318	4	Topic too specific		6	http://acronyms.thefreedictionary.com/	SOS	n14	14	http://acronyms.thefreedictionary.com/SOS
viveca	84	84	f1871f24d3349dafa52b6387a2d42bd9	12http://acronyms.thefreedictionary.com/	2015-03-20	ql20150318	4	Topic too specific		4	http://acronyms.thefreedictionary.com/	ISO	n12	12	http://acronyms.thefreedictionary.com/ISO
viveca	84	84	fe1edd56c5f46458d643a54dd54eb345	8http://acronyms.thefreedictionary.com/	2015-03-20	ql20150318	4	Topic too specific		0	http://acronyms.thefreedictionary.com/	ASS - What Does ASS Stand ...	n8	8	http://acronyms.thefreedictionary.com/Ass
viveca	93	93	2aa5bdf1e2bf24fdeed4b5f351d2d6c9	60http://blog.netflix.com/	2015-03-20	ql20150318	4	Time-sensitive	Outdated blogpost	6	http://blog.netflix.com/	Apr-14	n60	60	http://blog.netflix.com/2014_04_01_archive.html
viveca	93	93	3e23c08a6c754b5f38346261fd94d9ef	57http://blog.netflix.com/	2015-03-20	ql20150318	4	Time-sensitive	Outdated blogpost	3	http://blog.netflix.com/	Original Blog Post	n57	57	http://blog.netflix.com/2011/08/netflix-launches-just-for-kids.html
viveca	93	93	4f430c34019299f69b59e09ffaef61f0	59http://blog.netflix.com/	2015-03-20	ql20150318	4	Time-sensitive	Outdated blogpost	5	http://blog.netflix.com/	The Case Against ISP ...	n59	59	http://blog.netflix.com/2014/04/the-case-against-isp-tolls.html
viveca	93	93	94b3ae870dfc20f4b311b54eee822f40	58http://blog.netflix.com/	2015-03-20	ql20150318	4	Time-sensitive	Outdated blogpost	4	http://blog.netflix.com/	On Kindle Fire	n58	58	http://blog.netflix.com/2011/11/netflix-on-kindle-fire.html
viveca	93	93	b890a99d5292ca9c96efb2b3da657624	54http://blog.netflix.com/	2015-03-20	ql20150318	4	Time-sensitive	Outdated blogpost	0	http://blog.netflix.com/	Releasing This Week	n54	54	http://blog.netflix.com/2007/12/releasing-this-week.html
viveca	93	93	bc64998a2a09067c1f5f77852f222739	55http://blog.netflix.com/	2015-03-20	ql20150318	4	Time-sensitive	Outdated blogpost	1	http://blog.netflix.com/	House Of Cards	n55	55	http://blog.netflix.com/2011/03/house-of-cards.html
viveca	93	93	c3b97c6eab26624c69eb03eda40b46a7	56http://blog.netflix.com/	2015-03-20	ql20150318	4	Time-sensitive	Outdated blogpost	2	http://blog.netflix.com/	Price Changes	n56	56	http://blog.netflix.com/2011/07/netflix-introduces-new-plans-and.html
viveca	98	98	16d2231407767171b49cc453f0d55a61	138http://clintonaluminum.com/	2015-03-20	ql20150318	5	404		3	http://clintonaluminum.com/	About Clinton	n138	138	http://clintonaluminum.com/our-company/
viveca	98	98	1ee2ae33fe85d72f4d9ab17618ca4299	136http://clintonaluminum.com/	2015-03-20	ql20150318	4	Topic too specific		1	http://clintonaluminum.com/	Careers	n136	136	http://clintonaluminum.com/careers/
viveca	98	98	372215cf6acfef34b72cb5738dd206da	141http://clintonaluminum.com/	2015-03-20	ql20150318	5	404		6	http://clintonaluminum.com/	Our Company	n141	141	http://www.clintonaluminum.com/our-company/
viveca	98	98	58967add04253eb41952208f7e4ed7d0	139http://clintonaluminum.com/	2015-03-20	ql20150318	4	Topic too specific		4	http://clintonaluminum.com/	Careers	n139	139	http://www.clintonaluminum.com/careers/
viveca	98	98	855cc128e39ee44f9f9317197c2b3d49	140http://clintonaluminum.com/	2015-03-20	ql20150318	5	404		5	http://clintonaluminum.com/	Delivery Area	n140	140	http://www.clintonaluminum.com/delivery-area/
viveca	98	98	89457f84fe9db3066ad7567bac8efe42	142http://clintonaluminum.com/	2015-03-20	ql20150318	1			7	http://clintonaluminum.com/	Products	n142	142	http://www.clintonaluminum.com/products/
viveca	98	98	b2be62cf0234769c6e31fc2e06469e85	137http://clintonaluminum.com/	2015-03-20	ql20150318	1			2	http://clintonaluminum.com/	Locations	n137	137	http://clintonaluminum.com/locations/
viveca	98	98	e14a076725cb987b8da8cfde8fdddd4d	135http://clintonaluminum.com/	2015-03-20	ql20150318	2			0	http://clintonaluminum.com/	Capabilities	n135	135	http://clintonaluminum.com/capabilities/
viveca	115	115	1911bd4a6fbe3eae0f873c97e0a72195	1866http://www.stevenspointjournal.com/	2015-03-20	ql20150318	1			2	http://www.stevenspointjournal.com/	News	n1866	1866	http://stevenspointjournal.com/news
viveca	115	115	317caa4be9c000e896bc8dbefc2fd3c6	1872http://www.stevenspointjournal.com/	2015-03-20	ql20150318	3	Topic too specific		8	http://www.stevenspointjournal.com/	Subscribe Today!	n1872	1872	https://subscribe.stevenspointjournal.com/
viveca	115	115	5573d47e61e2aa0514ee6b3643883d68	1868http://www.stevenspointjournal.com/	2015-03-20	ql20150318	1			4	http://www.stevenspointjournal.com/	Sports	n1868	1868	http://stevenspointjournal.com/sports
viveca	115	115	5db4a5848cd9969c136d18aad5f1fa28	1864http://www.stevenspointjournal.com/	2015-03-20	ql20150318	2			0	http://www.stevenspointjournal.com/	Classifieds	n1864	1864	http://classifieds.stevenspointjournal.com/index.php
viveca	115	115	733fdd68e4e637bafd9ded7afde9cbd0	1867http://www.stevenspointjournal.com/	2015-03-20	ql20150318	3	Topic too specific		3	http://www.stevenspointjournal.com/	Obituaries	n1867	1867	http://stevenspointjournal.com/obituaries
viveca	115	115	7d624e68a776be38040e098b63d584fa	1870http://www.stevenspointjournal.com/	2015-03-20	ql20150318	1			6	http://www.stevenspointjournal.com/	News	n1870	1870	http://www.stevenspointjournal.com/section/SPJ01/SPJ-News
viveca	115	115	82a5d47447528706546539503cb571d8	1871http://www.stevenspointjournal.com/	2015-03-20	ql20150318	1			7	http://www.stevenspointjournal.com/	Sports	n1871	1871	http://www.stevenspointjournal.com/sports/
viveca	115	115	a35b215eaabac9bd83eb7aa00962ae10	1869http://www.stevenspointjournal.com/	2015-03-20	ql20150318	2			5	http://www.stevenspointjournal.com/	Movies	n1869	1869	http://www.stevenspointjournal.com/go-715/movies/
