a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.linkquality	a.linklowquality	a.commentsnotes	a.titlequality	a.titlelowquality	a.rank	m._domain_url	m._sourcexml	m._ql_title	m._unkvalue	m._control	m._ql_url
samanthashook	1	1	0d0cf7e80ca5d493af8a2557efc571c6	2738https://plus.google.com/	2015-04-14	qlv416working	3	Other		3	Bad capitalization	1	https://plus.google.com/	bing-ql.ysec01.ans.xml	GMAIL	1	2738	https://mail.google.com/mail/
samanthashook	1	1	299f170745b7eb6cfb5423aff356b004	2745https://plus.google.com/	2015-04-14	qlv416working	5		sign in page	5		8	https://plus.google.com/	v4.16.singlelayer.newf.newgbdt.xml	Photos	6	2745	https://plus.google.com/photos?tab=Xq
samanthashook	1	1	2a27e3e5961ba8bbf56bafb141baca88	2747https://plus.google.com/	2015-04-14	qlv416working	3	Other		2		10	https://plus.google.com/	v4.16.singlelayer.newf.newgbdt.xml	Groups	4	2747	http://groups.google.com/grphp?hl=entab=Xg
samanthashook	1	1	4d7fbc5b0946c4556bc48fd6584b8425	2744https://plus.google.com/	2015-04-14	qlv416working	3	Topic too specific		2		7	https://plus.google.com/	v4.16.singlelayer.newf.newgbdt.xml	Hangouts	5	2744	http://www.google.com/+/learnmore/hangouts/
samanthashook	1	1	7225e4d0a9819eb134e41ca86370b209	2748https://plus.google.com/	2015-04-14	qlv416working	5	404		5		11	https://plus.google.com/	v4.16.singlelayer.newf.newgbdt.xml	Create An Account	3	2748	http://accounts.google.com/SignUp?service=ozcontinue=https%3A%2F%2Fplus.google.com%2F%3Fgpsrc%3Dgplp0hl=en-US
samanthashook	1	1	8757c003bc8d0e0ed553f2a6fe7c123b	2742https://plus.google.com/	2015-04-14	qlv416working	3	Other	sign in page	5		5	https://plus.google.com/	bing-ql.ysec01.ans.xml	Photos	2	2742	https://picasaweb.google.com/home
samanthashook	1	1	8b80e37e2b6f20f9cf37daa15c30b258	2740https://plus.google.com/	2015-04-14	qlv416working	3	Other		3	Poor truncation	3	https://plus.google.com/	bing-ql.ysec01.ans.xml	Play	6	2740	https://play.google.com/store
samanthashook	1	1	abdbf09c53007017ccec6e75d8e49728	2743https://plus.google.com/	2015-04-14	qlv416working	3	Other		1		6	https://plus.google.com/	v4.16.singlelayer.newf.newgbdt.xml	Gmail	1	2743	http://mail.google.com/mail
samanthashook	1	1	afb89b3bd464d55814dd196669095512	2739https://plus.google.com/	2015-04-14	qlv416working	3	Other		2		2	https://plus.google.com/	bing-ql.ysec01.ans.xml	Groups	5	2739	http://groups.google.com/grphp?hl=entab=Xg
samanthashook	1	1	bfe859b99e4d239c6014af92be6b2d5c	2737https://plus.google.com/	2015-04-14	qlv416working	3	Other		2		0	https://plus.google.com/	bing-ql.ysec01.ans.xml	Google News	3	2737	http://news.google.com/
samanthashook	1	1	c66f6cd90f50004e11e64ae18b42c72d	2746https://plus.google.com/	2015-04-14	qlv416working	5		sign in page	5		9	https://plus.google.com/	v4.16.singlelayer.newf.newgbdt.xml	Picasa	2	2746	http://picasaweb.google.com
samanthashook	1	1	fffd74b51dd64d429a2e9012bc04a920	2741https://plus.google.com/	2015-04-14	qlv416working	3	Other		1		4	https://plus.google.com/	bing-ql.ysec01.ans.xml	Google Maps	4	2741	https://maps.google.com/
samanthashook	8	8	2484255865cd341cd0fc934427c18af3	2992http://www.pogo.com/	2015-04-14	qlv416working	3	Topic too specific		1		10	http://www.pogo.com/	v4.16.singlelayer.newf.newgbdt.xml	Poker Games	6	2992	http://www.pogo.com/poker-games
samanthashook	8	8	2938ce63ce0e53d309744d95655d8120	2993http://www.pogo.com/	2015-04-14	qlv416working	3	Other		3	Other	11	http://www.pogo.com/	v4.16.singlelayer.newf.newgbdt.xml	Free Online Games	2	2993	http://www.pogo.com/all-games
samanthashook	8	8	2ecf8e701b330797ecdb342e65e4a23f	2991http://www.pogo.com/	2015-04-14	qlv416working	2			1		9	http://www.pogo.com/	v4.16.singlelayer.newf.newgbdt.xml	Casino Games	4	2991	http://www.pogo.com/casino-games
samanthashook	8	8	5f342791dd5214951137cb67d6bab96b	2983http://www.pogo.com/	2015-04-14	qlv416working	2			1		1	http://www.pogo.com/	bing-ql.ysec01.ans.xml	Card Games	2	2983	http://www.pogo.com/card-games
samanthashook	8	8	608696a180cee1627beb317a9fe4e0f0	2987http://www.pogo.com/	2015-04-14	qlv416working	3	Other		2		5	http://www.pogo.com/	bing-ql.ysec01.ans.xml	All Free Games	3	2987	http://www.pogo.com/all-games
samanthashook	8	8	642c11161efc7778ff1c334de5f9c2ca	2982http://www.pogo.com/	2015-04-14	qlv416working	3	Topic too specific		2		0	http://www.pogo.com/	bing-ql.ysec01.ans.xml	Poppit	4	2982	http://www.pogo.com/games/poppit
samanthashook	8	8	7f6344b02c578d3077208b450229360d	2989http://www.pogo.com/	2015-04-14	qlv416working	2			1		7	http://www.pogo.com/	v4.16.singlelayer.newf.newgbdt.xml	Card Games	1	2989	http://www.pogo.com/card-games
samanthashook	8	8	83bc63cb23f07494f869213cd5005d9d	2990http://www.pogo.com/	2015-04-14	qlv416working	3	Topic too specific		1		8	http://www.pogo.com/	v4.16.singlelayer.newf.newgbdt.xml	Scrabble	3	2990	http://pogo.com/games/scrabble
samanthashook	8	8	a121310c8ecf5760220a5203cda03b4c	2988http://www.pogo.com/	2015-04-14	qlv416working	3	Topic too specific		1		6	http://www.pogo.com/	v4.16.singlelayer.newf.newgbdt.xml	Poppit!	5	2988	http://www.pogo.com/games/poppit
samanthashook	8	8	c8c716b9a8015a67302300a692dad1f0	2986http://www.pogo.com/	2015-04-14	qlv416working	3	Topic too specific		1		4	http://www.pogo.com/	bing-ql.ysec01.ans.xml	Scrabble	5	2986	http://www.pogo.com/games/scrabble
samanthashook	8	8	d326fec559de645d1dc1e52faeaae042	2984http://www.pogo.com/	2015-04-14	qlv416working	3	Other		2		2	http://www.pogo.com/	bing-ql.ysec01.ans.xml	Sign In	1	2984	http://www.pogo.com/action/pogo/signin.do?returnType=homePagepageSection=free_home_login
samanthashook	8	8	e22e283525f4816ac223959b5ace8c00	2985http://www.pogo.com/	2015-04-14	qlv416working	2			1		3	http://www.pogo.com/	bing-ql.ysec01.ans.xml	Casino Games	6	2985	http://www.pogo.com/casino-games
samanthashook	58	58	0d58210d5bc63272690c4f2c616c7ce0	36http://kohlscareers.com/	2015-04-14	qlv416working	3	Topic too specific		2		1	http://kohlscareers.com/	bing-ql.ysec01.ans.xml	Corporate	4	36	http://kohlscareers.com/our-jobs/corporate/
samanthashook	58	58	271598102392f826f3aca42199c514f4	41http://kohlscareers.com/	2015-04-14	qlv416working	3	Topic too specific		3	Other	6	http://kohlscareers.com/	v4.16.singlelayer.newf.newgbdt.xml	Internships  Beyond	4	41	http://kohlscareers.com/our-jobs/internships/
samanthashook	58	58	3718eecda09fecc25ea515548d4fce81	45http://kohlscareers.com/	2015-04-14	qlv416working	3	Topic too specific		3	Other	10	http://kohlscareers.com/	v4.16.singlelayer.newf.newgbdt.xml	Corporation	5	45	http://www.kohlscareers.com/corporate/
samanthashook	58	58	8a2e6e0dca9a009a4db87d6732a1d64b	40http://kohlscareers.com/	2015-04-14	qlv416working	3	Topic too specific		2		5	http://kohlscareers.com/	bing-ql.ysec01.ans.xml	Distribution Centers	3	40	http://kohlscareers.com/our-jobs/distribution-and-efulfillment-centers/
samanthashook	58	58	c7ced700374406e0fb24d5f9fe2714be	35http://kohlscareers.com/	2015-04-14	qlv416working	3	Topic too specific		2		0	http://kohlscareers.com/	bing-ql.ysec01.ans.xml	Call Center	5	35	http://kohlscareers.com/our-jobs/contact-centers-and-financial-services/
samanthashook	58	58	cf510912d8d9c97e8fd509b07858a117	38http://kohlscareers.com/	2015-04-14	qlv416working	3	Other		2		3	http://kohlscareers.com/	bing-ql.ysec01.ans.xml	Stores	2	38	http://kohlscareers.com/our-jobs/stores/
samanthashook	58	58	d12106c53207d11edd6cd9de380ca545	44http://kohlscareers.com/	2015-04-14	qlv416working	2			3	Bad capitalization	9	http://kohlscareers.com/	v4.16.singlelayer.newf.newgbdt.xml	Search And Apply	1	44	http://kohlscareers.com/search-and-apply
samanthashook	58	58	dbe02720638f3cf09a53173f191f508f	42http://kohlscareers.com/	2015-04-14	qlv416working	3	Topic too specific		3	Other	7	http://kohlscareers.com/	v4.16.singlelayer.newf.newgbdt.xml	Distribution Center	6	42	http://www.kohlscareers.com/distribution/
samanthashook	58	58	de62301ec9eb6e94690bf8870c53ceef	37http://kohlscareers.com/	2015-04-14	qlv416working	3	Other		2		2	http://kohlscareers.com/	bing-ql.ysec01.ans.xml	Our Locations	6	37	http://kohlscareers.com/our-locations/
samanthashook	58	58	e633e385782b9dd9638b928d7757b10a	43http://kohlscareers.com/	2015-04-14	qlv416working	3	Topic too specific		2		8	http://kohlscareers.com/	v4.16.singlelayer.newf.newgbdt.xml	Our Total Rewards	3	43	http://kohlscareers.com/our-total-rewards/
samanthashook	58	58	eb55abdd61e7a99c03cbf9030073550c	39http://kohlscareers.com/	2015-04-14	qlv416working	2			2		4	http://kohlscareers.com/	bing-ql.ysec01.ans.xml	Search and Apply	1	39	http://kohlscareers.com/search-and-apply/
samanthashook	76	76	01a80c45f48d5cffcd782fbdbe34e639	1609https://images.google.com/	2015-04-14	qlv416working	4	Topic too specific		3	Other	3	https://images.google.com/	bing-ql.ysec01.ans.xml	Search Help	1	1609	https://support.google.com/websearch/answer/1325808?hl=en
samanthashook	76	76	132ca1958ed74e4828e725ca7e9104c7	1617https://images.google.com/	2015-04-14	qlv416working	3	Other		2		11	https://images.google.com/	v4.16.singlelayer.newf.newgbdt.xml	Search	4	1617	http://google.com/search
samanthashook	76	76	1b8dc9a10ebfbad90ded7c1448ad2fb0	1616https://images.google.com/	2015-04-14	qlv416working	3	Topic too specific		2		10	https://images.google.com/	v4.16.singlelayer.newf.newgbdt.xml	LIFE Photo Archive	5	1616	http://images.google.com/hosted/life
