m._domain_url	m._ql_url	m._ql_title	a.linkquality	a.linklowquality	a.titlequality	a.titlerewritten	a.qlreplacements
https://zulily.com/	http://www.zulily.com/shopbyage/girls/kids	Shop by Age: <b>Kids</b>	Probably likely		Fair	Shop by Age	
https://zulily.com/	http://www.zulily.com/baby-maternity/	<b>Baby </b>& Maternity	Probably likely		Excellent		
https://zulily.com/	http://www.zulily.com/plus-size	Plus Size	Probably not likely	Topic too specific	Excellent		
https://zulily.com/	http://www.zulily.com/auth/?setaction=login	Sign In	Probably likely		Good		
https://zulily.com/	http://www.zulily.com/women/	<b>Women</b>	Very likely		Excellent		
https://zulily.com/	http://www.zulily.com/girls/	Girls	Probably likely		Excellent		
https://home.live.com/	https://login.live.com/	<b>Windows </b>Live	NJ	Other	NJ		most are sign in pages
https://home.live.com/	http://mail.live.com/	<b>Hotmail</b>	NJ	Other	NJ		most are sign in pages
https://home.live.com/	https://account.live.com/	Microsoft Account	NJ	Other	NJ		most are sign in pages
https://home.live.com/	https://signup.live.com/?wa=wsignin1.0&rpsnv=11&ct=1346887334&rver=	<b>Sign </b>up Now	Probably likely		Good		most are sign in pages
https://home.live.com/	https://messenger.live.com/	<b>Live Messenger</b>	NJ	Other	NJ		most are sign in pages
https://home.live.com/	https://mid.live.com/	Windows <b>Live </b>ID	NJ	Other	NJ		most are sign in pages
http://bill.aol.com/	http://mail.aol.com/	Mail	NJ		NJ		most require sign ins; I don&#39;t think this seed url needs quick links
http://bill.aol.com/	http://my.aol.com/	<b>My AOL</b>	Probably not likely		Fair	AOL	most require sign ins; I don&#39;t think this seed url needs quick links
http://bill.aol.com/	http://help.aol.com/help/teams/help_team/	Meet The Help Team	Probably likely	Other	Fair	Help	most require sign ins; I don&#39;t think this seed url needs quick links
http://bill.aol.com/	https://bill.aol.com/SPortal/jsp/notify_about_notify.jsp	Notify <b>AOL</b>	NJ		NJ		most require sign ins; I don&#39;t think this seed url needs quick links
http://bill.aol.com/	http://help.aol.com/help/microsites/microsite.do	Help	Probably not likely		Excellent		most require sign ins; I don&#39;t think this seed url needs quick links
http://bill.aol.com/	http://discover.aol.com/software	Downloads	Probably not likely		Good		most require sign ins; I don&#39;t think this seed url needs quick links
http://www.airport-ohare.com/	http://www.airport-ohare.com/concessions.php	Concessions	Definitely not likely	Other	Good		http://www.airport-ohare.com/FAA.php
http://www.airport-ohare.com/	http://www.airport-ohare.com/departures.php	Departures	Very likely		Excellent		http://www.airport-ohare.com/FAA.php
http://www.airport-ohare.com/	http://www.airport-ohare.com/parking.php	Parking	Probably likely		Good		http://www.airport-ohare.com/FAA.php
http://www.airport-ohare.com/	http://airport-ohare.com/Map.cfm	Map	Very likely		Good		http://www.airport-ohare.com/FAA.php
http://www.airport-ohare.com/	http://www.airport-ohare.com/arrivals.php	Arrivals	Very likely		Excellent		http://www.airport-ohare.com/FAA.php
http://www.airport-ohare.com/	http://airport-ohare.com/ContactUs.cfm	Contact Us	Probably likely		Excellent		http://www.airport-ohare.com/FAA.php
https://go.okstate.edu/	http://gradcollege.okstate.edu/	Graduate College	Probably likely		Excellent		
https://go.okstate.edu/	http://bursar.okstate.edu/	Bursar	Probably likely		Excellent		
https://go.okstate.edu/	https://admissions.okstate.edu/	Undergraduate Admissions	Very likely		Excellent		
https://go.okstate.edu/	http://prodosu.okstate.edu/	Student Self-Service (Sis)	Very likely		Fair	Student Self-Service (SIS)	
https://go.okstate.edu/	http://www.reslife.okstate.edu/	Residential Life	Probably likely		Good		
https://go.okstate.edu/	https://oc.okstate.edu/	Online Classroom (<b>D2l</b>)	Probably likely		Fair	Online Classroom (D2L)	
http://www.employment.oregon.gov/	http://cms.oregon.gov/EMPLOY/ES/JOB/pages/index.aspx	Employment <b>Department</b>	NJ	404	NJ		http://www.oregon.gov/EMPLOY/jobseekers/Pages/Find-a-Job.aspx, http://www.oregon.gov/EMPLOY/Unemployment/Pages/default.aspx, http://www.oregon.gov/EMPLOY/jobseekers/Pages/default.aspx, http://www.oregon.gov/EMPLOY/Businesses/Pages/default.aspx, http://www.oregon.gov/EMPLOY/Pages/Forms.aspx, http://www.oregon.gov/EMPLOY/Agency/Pages/default.aspx
http://www.employment.oregon.gov/	http://cms.oregon.gov/DAS/CHRO/pages/index.aspx	Chief Human Resources	Probably not likely		Good		http://www.oregon.gov/EMPLOY/jobseekers/Pages/Find-a-Job.aspx, http://www.oregon.gov/EMPLOY/Unemployment/Pages/default.aspx, http://www.oregon.gov/EMPLOY/jobseekers/Pages/default.aspx, http://www.oregon.gov/EMPLOY/Businesses/Pages/default.aspx, http://www.oregon.gov/EMPLOY/Pages/Forms.aspx, http://www.oregon.gov/EMPLOY/Agency/Pages/default.aspx
http://www.employment.oregon.gov/	http://cms.oregon.gov/EMPLOY/ES/JOB/Pages/government_jobs.aspx	<b>Department </b>Job <b>Listings</b>	NJ	404	NJ		http://www.oregon.gov/EMPLOY/jobseekers/Pages/Find-a-Job.aspx, http://www.oregon.gov/EMPLOY/Unemployment/Pages/default.aspx, http://www.oregon.gov/EMPLOY/jobseekers/Pages/default.aspx, http://www.oregon.gov/EMPLOY/Businesses/Pages/default.aspx, http://www.oregon.gov/EMPLOY/Pages/Forms.aspx, http://www.oregon.gov/EMPLOY/Agency/Pages/default.aspx
